,APG
Price/Earnings (TTM),
Price/Sales (TTM),0.73657
Price/Book (MRQ),2.04318
Price/Cash Flow (TTM),36.0255
5yr Low,4.3
5yr High,26.84
5yr Avg Return,0.16026666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0860198
Dividend Growth 5yr,
Short Int Current Month,4316081.0
Short Int Prev Month,5521664.0
Short Int Pct of Float,0.0210195
Days to Cover,3.86862
Float,205.4203
Shares Outstanding,233.9069
Institutions Holding Shares,281.0
% Held by Institutions,0.858907
FCF Growth 5yr,-1.1647552297721027
