,APG
% Above Low,0.4354
% Held by Institutions,0.8589
52-Wk Range,['13.09 - 26.84']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.7
Bid,13.18
Bid Size,100.0
Closing Price,18.79
Day Change $,0.09
Day Change %,0.0048
Day High,18.91
Day Low,18.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.76
Ex-dividend Date,No dividend
Historical Volatility,0.40700000000000003
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,4.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.7
Shares Outstanding,233.9M
Short Interest,0.021
Today's Open,18.75
Volume,166239.0
Volume 10-day Avg,1023876.0
Volume Past Day,(Light)
