,APG
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.20792079207920788
Growth 1yr High Est,0.26923076923076916
Growth 1yr Consensus Est,0.23857578065498852
Growth 2yr Low Est,0.1285505599740302
Growth 2yr High Est,0.2558275058275057
Growth 2yr Consensus Est,0.19218903290076794
Growth 5yr Low Est,0.04768867740958741
Growth 5yr High Est,0.1285348638289814
Growth 5yr Consensus Est,0.08811177061928442
Growth 5yr Actual/Est,0.08161991862453429
Growth 3yr Historic,-0.05191256830601091
