,TMUS
Price/Earnings (TTM),123.6827
Price/Sales (TTM),2.34668
Price/Book (MRQ),2.69178
Price/Cash Flow (TTM),11.89728
5yr Low,55.09
5yr High,154.38
5yr Avg Return,0.19044999999999998
EPS Growth 5yr,0.07399700000000001
Revenue Growth 5yr,0.1640267
Dividend Growth 5yr,
Short Int Current Month,16963140.0
Short Int Prev Month,16475479.0
Short Int Pct of Float,0.028755700000000002
Days to Cover,2.91854
Float,589.7402
Shares Outstanding,1244.154
Institutions Holding Shares,1596.0
% Held by Institutions,0.417488
FCF Growth 5yr,-0.3755631619409299
