,TMUS
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.389558232931727
Growth 1yr High Est,-0.030927835051546504
Growth 1yr Consensus Est,-0.21024303399163674
Growth 2yr Low Est,0.940089304586768
Growth 2yr High Est,0.8976566498501134
Growth 2yr Consensus Est,0.9188729772184407
Growth 5yr Low Est,0.38783440970578287
Growth 5yr High Est,0.3775752536719854
Growth 5yr Consensus Est,0.38270483168888414
Growth 5yr Actual/Est,0.43401815653901493
Growth 3yr Historic,-0.1078405144090866
