,TMUS
% Below High,0.028999999999999998
% Held by Institutions,0.4175
52-Wk Range,['101.51 - 154.38']
Annual Dividend $,
Annual Dividend %,
Ask,150.43
Ask Size,1200.0
Ask close,160.63
B/A Ratio,0.3333333333333333
B/A Size,400x1200
Beta,0.5
Bid,149.88
Bid Size,400.0
Bid close,141.71
Change Since Close,0.00| |(0.00%)
Closing Price,149.9
Day Change $,-1.15
Day Change %,-0.0076
Day High,152.21
Day Low,149.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.22
Ex-dividend Date,No dividend
Historical Volatility,0.297
Last (size),84.0
Last (time),3:59p ET 11/28/22
Last Trade,149.9
Market Cap,186.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",123.68
Prev Close,151.05
Shares Outstanding,1.2B
Short Interest,0.0288
Today's Open,151.01
Volume,4894293.0
Volume 10-day Avg,4814858.0
Volume Past Day,(Average)
