,ZI
% Above Low,0.16920000000000002
% Held by Institutions,0.8889
52-Wk Range,['23.29 - 71.50']
Annual Dividend $,
Annual Dividend %,
Ask,27.88
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,26.5
Bid Size,400.0
Closing Price,27.23
Day Change $,-0.57
Day Change %,-0.020499999999999997
Day High,27.85
Day Low,27.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.22
Ex-dividend Date,No dividend
Historical Volatility,0.765
Last (size),79.0
Last (time),4:00p ET 11/28/22
Market Cap,11.0B
"P/E Ratio (TTM, GAAP)",123.84
Prev Close,27.8
Shares Outstanding,403.7M
Short Interest,0.0391
Today's Open,27.41
Volume,2301091.0
Volume 10-day Avg,6589049.0
Volume Past Day,(Light)
