,ZI
Price/Earnings (TTM),123.8418
Price/Sales (TTM),11.01567
Price/Book (MRQ),5.10935
Price/Cash Flow (TTM),41.54633
5yr Low,23.29
5yr High,79.17
5yr Avg Return,-0.01206666666666668
Short Int Current Month,11063702.0
Short Int Prev Month,12284009.0
Short Int Pct of Float,0.039114499999999996
Days to Cover,1.54441
Float,295.7444
Shares Outstanding,403.657
Institutions Holding Shares,593.0
% Held by Institutions,0.88886
FCF Growth 5yr,0.2208286951144094
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
