,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2020,Positive Surprise,0.34,,,,,,,0.32,0.34,,
Year ending 12/2021,Positive Surprise,0.57,,0.6764705882352939,,,,,0.52,0.57,0.6764705882352939,
Year ending 12/2022,Neutral,,0.84,0.0,0.83,,0.89,,0.84,0.84,0.47368421052631593,
Year ending 12/2023,Neutral,,0.99,0.0,0.88,0.06024096385542177,1.09,0.2247191011235956,0.99,0.99,0.1785714285714286,0.1424800324895087
