,PEG
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.06666666666666676
Growth 1yr High Est,-0.049180327868852514
Growth 1yr Consensus Est,-0.05792349726775964
Growth 2yr Low Est,-0.028869047619047683
Growth 2yr High Est,-0.005912003014886036
Growth 2yr Consensus Est,-0.01739052531696686
Growth 5yr Low Est,0.018399179735172216
Growth 5yr High Est,0.025227746483332036
Growth 5yr Consensus Est,0.021813463109252126
Growth 5yr Actual/Est,0.015943195158500817
Growth 3yr Historic,0.02746791225200884
