,PEG
% Above Low,0.1208
% Held by Institutions,0.7126
52-Wk Range,['52.51 - 75.61']
Annual Dividend $,2.16
Annual Dividend %,0.0365
Ask,58.86
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.6
Bid,58.84
Bid Size,300.0
Day Change $,-0.365
Day Change %,-0.0062
Day High,59.07
Day Low,58.25
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.37
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.23800000000000002
Last (size),100.0
Last (time),10:27a ET 11/28/22
Market Cap,29.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",43.26
Prev Close,59.22
Price,58.86
Shares Outstanding,498.9M
Short Interest,0.0079
Today's Open,58.72
Volume Past Day,(Light)
