,PEG
Price/Earnings (TTM),43.25943
Price/Sales (TTM),3.04084
Price/Book (MRQ),2.22114
Price/Cash Flow (TTM),16.59989
5yr Low,34.75
5yr High,75.61
5yr Avg Return,0.025933333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0163221
Dividend Growth 5yr,0.0446174
Short Int Current Month,3925611.0
Short Int Prev Month,3793268.0
Short Int Pct of Float,0.007883
Days to Cover,0.88932
Float,498.1049
Shares Outstanding,498.9497
Institutions Holding Shares,1198.0
% Held by Institutions,0.712609
FCF Growth 5yr,1.0234274179874399
