,WM
% Below High,0.0647
% Held by Institutions,0.8445999999999999
52-Wk Range,['138.58 - 175.98']
Annual Dividend $,2.6
Annual Dividend %,0.0158
Ask,169.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,162.18
Bid Size,100.0
Closing Price,164.59
Day Change $,0.13
Day Change %,0.0008
Day High,165.16
Day Low,163.51
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",5.38
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.22
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,67.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",30.56
Prev Close,164.46
Shares Outstanding,410.5M
Short Interest,0.0105
Today's Open,163.51
Volume,2245553.0
Volume 10-day Avg,1652587.0
Volume Past Day,(Heavy Day)
