,OKE
% Below High,0.1285
% Held by Institutions,0.6796
52-Wk Range,['50.50 - 75.07']
Annual Dividend $,3.74
Annual Dividend %,0.0572
Ask,64.52
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,63.75
Bid Size,100.0
Change Since Close,-1.17| |(-1.79%)
Closing Price,65.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",3.6
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.34500000000000003
Last (size),18.0
Last (time),5:00p ET 11/25/22
Last Trade,64.25
Market Cap,29.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.15
Prev Close,65.42
Shares Outstanding,447.0M
Short Interest,0.0206
Today's Open,
Volume,7449.0
Volume 10-day Avg,2319434.0
Volume Past Day,(Light)
