,OKE
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.11711711711711725
Growth 1yr High Est,0.06301369863013706
Growth 1yr Consensus Est,0.09006540787362716
Growth 2yr Low Est,0.10156931124673063
Growth 2yr High Est,0.13975427199548085
Growth 2yr Consensus Est,0.12066179162110574
Growth 5yr Low Est,0.10711070888935084
Growth 5yr High Est,0.11138336112930244
Growth 5yr Consensus Est,0.10924703500932664
Growth 5yr Actual/Est,0.10781602868816034
Growth 3yr Historic,0.0360860956760555
