,OKE
Price/Earnings (TTM),18.1517
Price/Sales (TTM),1.28383
Price/Book (MRQ),4.63214
Price/Cash Flow (TTM),13.06857
5yr Low,12.16
5yr High,78.48
5yr Avg Return,0.10376666666666667
EPS Growth 5yr,0.1497389
Revenue Growth 5yr,0.1314273
Dividend Growth 5yr,0.0873949
Short Int Current Month,9137765.0
Short Int Prev Month,7981740.0
Short Int Pct of Float,0.0205787
Days to Cover,3.5337
Float,444.2347
Shares Outstanding,446.9538
Institutions Holding Shares,1254.0
% Held by Institutions,0.679631
FCF Growth 5yr,0.633278963698197
