,FBK
% Below High,0.08650000000000001
% Held by Institutions,0.6359
52-Wk Range,['36.09 - 47.40']
Annual Dividend $,0.52
Annual Dividend %,0.012
Ask,49.25
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,38.0
Bid Size,500.0
Closing Price,43.3
Day Change $,0.45
Day Change %,0.0105
Day High,43.36
Day Low,42.8
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",2.84
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.3
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",15.22
Prev Close,42.85
Shares Outstanding,46.9M
Short Interest,0.018500000000000003
Today's Open,43.0
Volume,64083.0
Volume 10-day Avg,126316.0
Volume Past Day,(Light)
