,FBK
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.054545454545454564
Growth 1yr High Est,-0.024822695035460973
Growth 1yr Consensus Est,-0.03968407479045777
Growth 2yr Low Est,0.09195804195804197
Growth 2yr High Est,0.21122501611863315
Growth 2yr Consensus Est,0.15159152903833756
Growth 5yr Low Est,0.045979020979020985
Growth 5yr High Est,0.10561250805931657
Growth 5yr Consensus Est,0.07579576451916878
Growth 5yr Actual/Est,0.2420509431588059
Growth 3yr Historic,0.24183787901229353
