,FBK
Price/Earnings (TTM),15.22017
Price/Sales (TTM),3.74983
Price/Book (MRQ),1.58599
Price/Cash Flow (TTM),13.69973
5yr Low,14.38
5yr High,49.62
5yr Avg Return,0.017750000000000005
EPS Growth 5yr,0.1355155
Revenue Growth 5yr,0.261533
Dividend Growth 5yr,
Short Int Current Month,652676.0
Short Int Prev Month,750042.0
Short Int Pct of Float,0.0184657
Days to Cover,4.90619
Float,35.3765
Shares Outstanding,46.92996
Institutions Holding Shares,236.0
% Held by Institutions,0.635874
FCF Growth 5yr,2.0307084785133562
