,CMCO
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.021505376344086002
Growth 1yr High Est,0.04529616724738683
Growth 1yr Consensus Est,0.011895395451650415
Growth 2yr Low Est,-0.08950726692662181
Growth 2yr High Est,0.02764808362369342
Growth 2yr Consensus Est,-0.030929591651464194
Growth 5yr Low Est,0.1976049921630312
Growth 5yr High Est,0.16503393485997508
Growth 5yr Consensus Est,0.18131946351150316
Growth 5yr Actual/Est,0.2168743173007912
Growth 3yr Historic,0.21423033986603823
