,CMCO
Price/Earnings (TTM),20.3452
Price/Sales (TTM),0.97122
Price/Book (MRQ),1.14096
Price/Cash Flow (TTM),10.39776
5yr Low,19.2
5yr High,57.06
5yr Avg Return,-0.008150000000000008
EPS Growth 5yr,0.1941356
Revenue Growth 5yr,0.0730851
Dividend Growth 5yr,0.0844718
Short Int Current Month,396152.0
Short Int Prev Month,367545.0
Short Int Pct of Float,0.0142078
Days to Cover,2.54084
Float,27.9413
Shares Outstanding,28.62977
Institutions Holding Shares,203.0
% Held by Institutions,0.99372
FCF Growth 5yr,-0.2962962962962962
