,MCD
Price/Earnings (TTM),34.64043
Price/Sales (TTM),8.65742
Price/Book (MRQ),
Price/Cash Flow (TTM),25.81635
5yr Low,124.23
5yr High,281.67
5yr Avg Return,0.08416666666666667
EPS Growth 5yr,0.1302244
Revenue Growth 5yr,-0.0116313
Dividend Growth 5yr,0.0777807
Short Int Current Month,6525770.0
Short Int Prev Month,6079527.0
Short Int Pct of Float,0.0089255
Days to Cover,1.85951
Float,731.2104
Shares Outstanding,732.4239
Institutions Holding Shares,3318.0
% Held by Institutions,0.662402
FCF Growth 5yr,0.11436464960854249
