,MCD
% Below High,0.023700000000000002
% Held by Institutions,0.6624
52-Wk Range,['217.68 - 281.67']
Annual Dividend $,6.08
Annual Dividend %,0.022099999999999998
Ask,274.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,273.7
Bid Size,100.0
Change Since Close,-0.15| |(-0.05%)
Closing Price,275.0
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",7.94
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.20199999999999999
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,274.85
Market Cap,201.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.64
Prev Close,275.0
Shares Outstanding,732.4M
Short Interest,0.0089
Today's Open,
Volume,96.0
Volume 10-day Avg,3381527.0
Volume Past Day,(Light)
