,AMD
Price/Earnings (TTM),45.03797
Price/Sales (TTM),5.30719
Price/Book (MRQ),2.22078
Price/Cash Flow (TTM),22.71324
5yr Low,9.04
5yr High,164.46
5yr Avg Return,0.5421499999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.3092495
Dividend Growth 5yr,
Short Int Current Month,38796438.0
Short Int Prev Month,32943648.0
Short Int Pct of Float,0.0241982
Days to Cover,0.40857
Float,1606.701
Shares Outstanding,1612.356
Institutions Holding Shares,2293.0
% Held by Institutions,0.6700020000000001
FCF Growth 5yr,0.24252843062536578
