,AMD
% Above Low,0.3769
% Held by Institutions,0.67
52-Wk Range,['54.57 - 164.46']
Annual Dividend $,
Annual Dividend %,
Ask,75.03
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.0
Bid,75.0
Bid Size,500.0
Closing Price,75.14
Day Change $,-1.26
Day Change %,-0.0165
Day High,76.04
Day Low,74.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),86.0
Last (time),12:59p ET 11/25/22
Market Cap,121.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",45.04
Prev Close,76.4
Shares Outstanding,1.6B
Short Interest,0.0242
Today's Open,75.67
Volume,26018911.0
Volume 10-day Avg,80698723.0
Volume Past Day,(Light)
