,ABT
Price/Earnings (TTM),24.02678
Price/Sales (TTM),4.14152
Price/Book (MRQ),5.22754
Price/Cash Flow (TTM),16.60369
5yr Low,54.32
5yr High,142.6
5yr Avg Return,0.13618333333333335
EPS Growth 5yr,0.40700539999999996
Revenue Growth 5yr,0.1561425
Dividend Growth 5yr,0.115958
Short Int Current Month,15649357.0
Short Int Prev Month,14185094.0
Short Int Pct of Float,0.0090471
Days to Cover,2.86801
Float,1730.769
Shares Outstanding,1743.574
Institutions Holding Shares,3238.0
% Held by Institutions,0.732362
FCF Growth 5yr,0.3263148589519773
