,CINF
Price/Earnings (TTM),
Price/Sales (TTM),2.58423
Price/Book (MRQ),1.82953
Price/Cash Flow (TTM),230.0642
5yr Low,46.07
5yr High,143.22
5yr Avg Return,0.08435000000000001
EPS Growth 5yr,0.3852699
Revenue Growth 5yr,0.1206291
Dividend Growth 5yr,0.055575099999999995
Short Int Current Month,4590766.0
Short Int Prev Month,4445567.0
Short Int Pct of Float,0.0294378
Days to Cover,6.01775
Float,158.2936
Shares Outstanding,159.1994
Institutions Holding Shares,892.0
% Held by Institutions,0.6635880000000001
FCF Growth 5yr,0.9451348314792359
