,CINF
% Above Low,0.23879999999999998
% Held by Institutions,0.6636
52-Wk Range,['88.66 - 143.22']
Annual Dividend $,2.76
Annual Dividend %,0.025099999999999997
Ask,110.17
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,109.46
Bid Size,100.0
Closing Price,109.83
Day Change $,1.03
Day Change %,0.0095
Day High,109.94
Day Low,108.91
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",-0.36
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.334
Last (size),3900.0
Last (time),12:59p ET 11/25/22
Market Cap,17.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,108.8
Shares Outstanding,157.2M
Short Interest,0.0294
Today's Open,109.24
Volume,173172.0
Volume 10-day Avg,574561.0
Volume Past Day,(Light)
