,JEF
Price/Earnings (TTM),10.3169
Price/Sales (TTM),1.17497
Price/Book (MRQ),0.8472
Price/Cash Flow (TTM),7.562
5yr Low,11.2
5yr High,44.47
5yr Avg Return,0.09363333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.18357769999999998
Dividend Growth 5yr,-0.003096
Short Int Current Month,4220720.0
Short Int Prev Month,5395739.0
Short Int Pct of Float,0.0251658
Days to Cover,3.13292
Float,167.4214
Shares Outstanding,228.9901
Institutions Holding Shares,547.0
% Held by Institutions,0.652667
FCF Growth 5yr,-7.041643041554408
