,JEF
% Below High,0.0815
% Held by Institutions,0.6527
52-Wk Range,['25.88 - 41.49']
Annual Dividend $,1.2
Annual Dividend %,0.0315
Ask,43.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,37.57
Bid Size,100.0
Closing Price,38.11
Day Change $,0.44
Day Change %,0.011699999999999999
Day High,38.22
Day Low,37.56
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",3.69
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.37
Last (size),119.0
Last (time),5:00p ET 11/25/22
Market Cap,8.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.32
Prev Close,37.67
Shares Outstanding,229.0M
Short Interest,0.0252
Today's Open,37.64
Volume,243930.0
Volume 10-day Avg,1049021.0
Volume Past Day,(Light)
