,WSBC
% Below High,0.0319
% Held by Institutions,0.5936
52-Wk Range,['29.50 - 41.37']
Annual Dividend $,1.4
Annual Dividend %,0.0345
Ask,40.44
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.9
Bid,39.77
Bid Size,100.0
Closing Price,40.05
Day Change $,-0.53
Day Change %,-0.0131
Day High,40.39
Day Low,39.87
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.25
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.5
Prev Close,40.58
Shares Outstanding,59.2M
Short Interest,0.0159
Today's Open,40.24
Volume,113921.0
Volume 10-day Avg,136167.0
Volume Past Day,(Below Average)
