,WSBC
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.09063444108761343
Growth 1yr High Est,-0.1331444759206798
Growth 1yr Consensus Est,-0.11188945850414661
Growth 2yr Low Est,-0.01375575874978674
Growth 2yr High Est,0.02656501694162089
Growth 2yr Consensus Est,0.006404629095917075
Growth 5yr Low Est,0.02363059520137778
Growth 5yr High Est,0.06142440036270233
Growth 5yr Consensus Est,0.042527497782040055
Growth 5yr Actual/Est,0.1146229047574647
Growth 3yr Historic,0.12300966485885131
