,WETF
% Above Low,0.1217
% Held by Institutions,0.7479
52-Wk Range,['4.60 - 6.65']
Annual Dividend $,0.12
Annual Dividend %,0.023
Ask,5.24
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,2.05
Bid Size,200.0
Closing Price,5.16
Day Change $,-0.06
Day Change %,-0.0115
Day High,5.2
Day Low,5.1
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.327
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,753.8M
"P/E Ratio (TTM, GAAP)",10.41
Prev Close,5.22
Shares Outstanding,146.5M
Short Interest,0.08039999999999999
Today's Open,5.2
Volume,661207.0
Volume 10-day Avg,1047656.0
Volume Past Day,(Light)
