,WETF
Price/Earnings (TTM),10.40608
Price/Sales (TTM),2.48959
Price/Book (MRQ),2.30102
Price/Cash Flow (TTM),8.46394
5yr Low,1.87
5yr High,13.41
5yr Avg Return,-0.09839999999999999
EPS Growth 5yr,0.0730736
Revenue Growth 5yr,0.0680915
Dividend Growth 5yr,-0.1781241
Short Int Current Month,8834304.0
Short Int Prev Month,7471960.0
Short Int Pct of Float,0.08039740000000001
Days to Cover,7.64548
Float,109.9422
Shares Outstanding,146.5185
Institutions Holding Shares,206.0
% Held by Institutions,0.747938
FCF Growth 5yr,-0.3088926007357908
