,DECK
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.37254901960784315
Growth 1yr High Est,0.4132539091586003
Growth 1yr Consensus Est,0.3929014643832217
Growth 2yr Low Est,0.24084593837535018
Growth 2yr High Est,0.33412958893124955
Growth 2yr Consensus Est,0.28748776365329987
Growth 5yr Low Est,0.2289719005712521
Growth 5yr High Est,0.2704858470972037
Growth 5yr Consensus Est,0.2497288738342279
Growth 5yr Actual/Est,0.22748923205328392
Growth 3yr Historic,0.15183371224573905
