,DECK
% Below High,0.10210000000000001
% Held by Institutions,1.0066
52-Wk Range,['212.93 - 424.51']
Annual Dividend $,
Annual Dividend %,
Ask,397.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.9
Bid,327.0
Bid Size,500.0
Closing Price,381.18
Day Change $,2.4
Day Change %,0.0063
Day High,381.89
Day Low,376.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.4
Ex-dividend Date,No dividend
Historical Volatility,0.499
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,10.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.25
Prev Close,378.78
Shares Outstanding,26.5M
Short Interest,0.030899999999999997
Today's Open,377.73
Volume,107607.0
Volume 10-day Avg,502689.0
Volume Past Day,(Light)
