,GES
% Below High,0.2014
% Held by Institutions,0.5549000000000001
52-Wk Range,['14.27 - 25.27']
Annual Dividend $,0.9
Annual Dividend %,0.0446
Ask,20.55
Ask Size,1000.0
B/A Ratio,0.3
B/A Size,300x1000
Beta,1.9
Bid,19.8
Bid Size,300.0
Closing Price,20.18
Day Change $,0.2
Day Change %,0.01
Day High,20.35
Day Low,19.91
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.573
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.54
Prev Close,19.98
Shares Outstanding,54.4M
Short Interest,0.1646
Today's Open,20.0
Volume,469238.0
Volume 10-day Avg,1033306.0
Volume Past Day,(Light)
