,GES
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.18965517241379304
Growth 1yr High Est,-0.214046822742475
Growth 1yr Consensus Est,-0.20185099757813402
Growth 2yr Low Est,0.09240645634629491
Growth 2yr High Est,0.15467871628833696
Growth 2yr Consensus Est,0.12354258631731593
Growth 5yr Low Est,0.09240645634629491
Growth 5yr High Est,0.15467871628833696
Growth 5yr Consensus Est,0.12354258631731593
Growth 5yr Actual/Est,-10.876675806504874
Growth 3yr Historic,-10.940640394088668
