,AEP
Price/Earnings (TTM),19.79802
Price/Sales (TTM),2.60675
Price/Book (MRQ),2.01424
Price/Cash Flow (TTM),8.57263
5yr Low,62.71
5yr High,105.6
5yr Avg Return,0.04503333333333334
EPS Growth 5yr,0.3178151
Revenue Growth 5yr,0.0049794
Dividend Growth 5yr,0.0573508
Short Int Current Month,6611705.0
Short Int Prev Month,5668267.0
Short Int Pct of Float,0.012870999999999999
Days to Cover,1.83912
Float,513.7026
Shares Outstanding,513.8637
Institutions Holding Shares,1651.0
% Held by Institutions,0.7292789999999999
FCF Growth 5yr,-0.0709487327219885
