,AEP
% Below High,0.0959
% Held by Institutions,0.7293000000000001
52-Wk Range,['80.22 - 105.60']
Annual Dividend $,3.32
Annual Dividend %,0.0348
Ask,95.85
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,95.09
Bid Size,200.0
Closing Price,95.47
Day Change $,0.34
Day Change %,0.0036
Day High,95.81
Day Low,94.95
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.82
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.233
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,49.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.8
Prev Close,95.13
Shares Outstanding,513.9M
Short Interest,0.0129
Today's Open,95.35
Volume,1252039.0
Volume 10-day Avg,3386902.0
Volume Past Day,(Light)
