,AEP
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.0675381263616559
Growth 1yr High Est,0.06540084388185652
Growth 1yr Consensus Est,0.06646948512175621
Growth 2yr Low Est,0.0664221244053177
Growth 2yr High Est,0.06339349124785898
Growth 2yr Consensus Est,0.06490780782658834
Growth 5yr Low Est,0.057248560811760885
Growth 5yr High Est,0.05748944607416423
Growth 5yr Consensus Est,0.05736900344296256
Growth 5yr Actual/Est,0.05739590893542601
Growth 3yr Historic,0.02868434472208059
