,ABMD
Price/Earnings (TTM),64.98051
Price/Sales (TTM),15.87202
Price/Book (MRQ),11.09155
Price/Cash Flow (TTM),57.92282
5yr Low,119.01
5yr High,459.75
5yr Avg Return,0.20778333333333332
EPS Growth 5yr,0.2058383
Revenue Growth 5yr,0.1829975
Dividend Growth 5yr,
Short Int Current Month,667395.0
Short Int Prev Month,2082860.0
Short Int Pct of Float,0.015102299999999999
Days to Cover,0.22922
Float,44.17833
Shares Outstanding,45.09118
Institutions Holding Shares,780.0
% Held by Institutions,0.9524330000000001
FCF Growth 5yr,-0.09386391443901898
