,ABMD
% Below High,0.0102
% Held by Institutions,0.9523999999999999
52-Wk Range,['219.85 - 381.99']
Annual Dividend $,
Annual Dividend %,
Ask,378.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,377.12
Bid Size,100.0
Closing Price,378.08
Day Change $,0.3
Day Change %,0.0008
Day High,378.29
Day Low,377.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.82
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,17.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",64.98
Prev Close,377.78
Shares Outstanding,45.1M
Short Interest,0.0151
Today's Open,377.36
Volume,258929.0
Volume 10-day Avg,1689422.0
Volume Past Day,(Light)
