,CHCO
Price/Earnings (TTM),15.94191
Price/Sales (TTM),6.23024
Price/Book (MRQ),2.72465
Price/Cash Flow (TTM),14.89647
5yr Low,53.06
5yr High,103.0
5yr Avg Return,0.07381666666666666
EPS Growth 5yr,0.1039252
Revenue Growth 5yr,0.04599
Dividend Growth 5yr,0.0629146
Short Int Current Month,1025578.0
Short Int Prev Month,955954.0
Short Int Pct of Float,0.0728767
Days to Cover,14.78758
Float,14.23837
Shares Outstanding,14.85573
Institutions Holding Shares,241.0
% Held by Institutions,0.665671
FCF Growth 5yr,0.2261600973171304
