,CHCO
% Below High,0.023700000000000002
% Held by Institutions,0.6657
52-Wk Range,['73.40 - 103.00']
Annual Dividend $,2.6
Annual Dividend %,0.0259
Ask,106.18
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,40.29
Bid Size,200.0
Closing Price,100.56
Day Change $,1.31
Day Change %,0.0132
Day High,101.15
Day Low,99.71
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",6.31
Ex-dividend,2023-01-12 00:00:00
Ex-dividend Date,01/12/23
Historical Volatility,0.21
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.94
Prev Close,99.25
Shares Outstanding,14.9M
Short Interest,0.0729
Today's Open,99.71
Volume,25535.0
Volume 10-day Avg,65392.0
Volume Past Day,(Light)
