,EXPO
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.026737967914438387
Growth 1yr High Est,0.02127659574468077
Growth 1yr Consensus Est,0.02400728182955958
Growth 2yr Low Est,0.044618983957219194
Growth 2yr High Est,0.049700797872340385
Growth 2yr Consensus Est,0.04715989091477979
Growth 5yr Low Est,0.08606788124035458
Growth 5yr High Est,0.08610867708186554
Growth 5yr Consensus Est,0.08608827916111006
Growth 5yr Actual/Est,0.08058033237347001
Growth 3yr Historic,0.059719586759434895
