,EXPO
Price/Earnings (TTM),53.94931
Price/Sales (TTM),10.40152
Price/Book (MRQ),16.29282
Price/Cash Flow (TTM),48.57206
5yr Low,34.9
5yr High,127.61
5yr Avg Return,0.20248333333333332
EPS Growth 5yr,0.1677517
Revenue Growth 5yr,0.08154410000000001
Dividend Growth 5yr,0.1731607
Short Int Current Month,1259934.0
Short Int Prev Month,1493995.0
Short Int Pct of Float,0.025219900000000003
Days to Cover,8.34609
Float,50.00341
Shares Outstanding,50.63823
Institutions Holding Shares,454.0
% Held by Institutions,0.9032479999999999
FCF Growth 5yr,-0.8698289710930008
