,EXPO
% Above Low,0.267
% Held by Institutions,0.9031999999999999
52-Wk Range,['80.97 - 126.31']
Annual Dividend $,0.96
Annual Dividend %,0.009399999999999999
Ask,103.03
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,102.15
Bid Size,100.0
Closing Price,102.59
Day Change $,1.33
Day Change %,0.0131
Day High,102.96
Day Low,101.17
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.9
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.313
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",53.95
Prev Close,101.26
Shares Outstanding,50.6M
Short Interest,0.0252
Today's Open,101.69
Volume,68050.0
Volume 10-day Avg,123761.0
Volume Past Day,(Light)
