,JBLU
% Above Low,0.2841
% Held by Institutions,0.6724
52-Wk Range,['6.21 - 16.39']
Annual Dividend $,
Annual Dividend %,
Ask,8.0
Ask Size,1300.0
B/A Ratio,0.6153846153846154
B/A Size,800x1300
Beta,1.5
Bid,7.95
Bid Size,800.0
Closing Price,7.98
Day Change $,0.05
Day Change %,0.0063
Day High,8.03
Day Low,7.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.61
Ex-dividend Date,No dividend
Historical Volatility,0.538
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.93
Shares Outstanding,323.9M
Short Interest,0.0484
Today's Open,7.89
Volume,2346833.0
Volume 10-day Avg,8373931.0
Volume Past Day,(Light)
