,LESL
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.10975609756097571
Growth 1yr High Est,0.10344827586206895
Growth 1yr Consensus Est,0.10660218671152233
Growth 2yr Low Est,0.027405521307960368
Growth 2yr High Est,0.12464080459770122
Growth 2yr Consensus Est,0.07602316295283079
Growth 5yr Low Est,0.027405521307960368
Growth 5yr High Est,0.12464080459770122
Growth 5yr Consensus Est,0.07602316295283079
Growth 5yr Actual/Est,0.3941477666335351
Growth 3yr Historic,0.3412698412698412
