,LESL
% Above Low,0.1923
% Held by Institutions,1.2086
52-Wk Range,['12.79 - 24.40']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,15.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.78
Ex-dividend Date,No dividend
Historical Volatility,0.513
Last (size),5600.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",19.52
Prev Close,15.25
Shares Outstanding,183.0M
Short Interest,0.198
Today's Open,
Volume,905977.0
Volume 10-day Avg,2643578.0
Volume Past Day,(Light)
