,LESL
Price/Earnings (TTM),19.51825
Price/Sales (TTM),1.86644
Price/Book (MRQ),
Price/Cash Flow (TTM),15.57887
5yr Low,12.79
5yr High,32.84
5yr Avg Return,-0.05253333333333333
Short Int Current Month,31180273.0
Short Int Prev Month,31476199.0
Short Int Pct of Float,0.1979991
Days to Cover,9.63478
Float,175.873
Shares Outstanding,183.0277
Institutions Holding Shares,309.0
% Held by Institutions,1.208574
FCF Growth 5yr,-1.0289828248879653
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
