,MMSI
Price/Earnings (TTM),66.93971
Price/Sales (TTM),3.59486
Price/Book (MRQ),3.75065
Price/Cash Flow (TTM),28.37409
5yr Low,19.5
5yr High,73.85
5yr Avg Return,0.1474666666666667
EPS Growth 5yr,0.1349879
Revenue Growth 5yr,0.12221869999999999
Dividend Growth 5yr,
Short Int Current Month,834727.0
Short Int Prev Month,1186318.0
Short Int Pct of Float,0.0150089
Days to Cover,2.62661
Float,55.61848
Shares Outstanding,56.9194
Institutions Holding Shares,346.0
% Held by Institutions,0.9658669999999999
FCF Growth 5yr,4.100225352243179
