,MMSI
% Below High,0.0108
% Held by Institutions,0.9659
52-Wk Range,['50.46 - 72.53']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,71.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.07
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",66.94
Prev Close,71.75
Shares Outstanding,56.9M
Short Interest,0.015
Today's Open,
Volume,72500.0
Volume 10-day Avg,236066.0
Volume Past Day,(Light)
