,MMSI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.8285714285714287
Growth 1yr High Est,0.7986111111111112
Growth 1yr Consensus Est,0.81359126984127
Growth 2yr Low Est,0.45530133928571437
Growth 2yr High Est,0.46301211926211927
Growth 2yr Consensus Est,0.4591567292739168
Growth 5yr Low Est,0.22765066964285718
Growth 5yr High Est,0.23150605963105964
Growth 5yr Consensus Est,0.2295783646369584
Growth 5yr Actual/Est,0.1880018606019792
Growth 3yr Historic,0.1416251556662516
