,TPR
Price/Earnings (TTM),11.77783
Price/Sales (TTM),1.33119
Price/Book (MRQ),3.95946
Price/Cash Flow (TTM),8.8178
5yr Low,10.18
5yr High,55.5
5yr Avg Return,-0.007250000000000009
EPS Growth 5yr,0.0869225
Revenue Growth 5yr,0.08292260000000001
Dividend Growth 5yr,-0.0582552
Short Int Current Month,11366406.0
Short Int Prev Month,13056705.0
Short Int Pct of Float,0.0473167
Days to Cover,2.73287
Float,240.3535
Shares Outstanding,240.9613
Institutions Holding Shares,767.0
% Held by Institutions,0.9437390000000001
FCF Growth 5yr,-0.31629214507286163
