,TPR
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.026239067055393583
Growth 1yr High Est,0.054131054131054235
Growth 1yr Consensus Est,0.04018506059322391
Growth 2yr Low Est,0.0202218062549695
Growth 2yr High Est,0.13517363517363523
Growth 2yr Consensus Est,0.07769772071430237
Growth 5yr Low Est,0.11322867891745443
Growth 5yr High Est,0.1282109948776616
Growth 5yr Consensus Est,0.12071983689755801
Growth 5yr Actual/Est,0.6062003971311288
Growth 3yr Historic,0.5575514596133153
