,IAC
% Above Low,0.09380000000000001
% Held by Institutions,0.8909
52-Wk Range,['43.80 - 140.77']
Annual Dividend $,
Annual Dividend %,
Ask,48.71
Ask Size,900.0
B/A Ratio,0.2222222222222222
B/A Size,200x900
Beta,1.5
Bid,48.2
Bid Size,200.0
Closing Price,47.91
Day Change $,-0.07
Day Change %,-0.0015
Day High,48.23
Day Low,47.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-13.34
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,47.98
Shares Outstanding,88.9M
Short Interest,0.0319
Today's Open,47.37
Volume,322294.0
Volume 10-day Avg,1293559.0
Volume Past Day,(Light)
