,CVX
Price/Earnings (TTM),10.45074
Price/Sales (TTM),1.56442
Price/Book (MRQ),2.23853
Price/Cash Flow (TTM),7.00887
5yr Low,51.6
5yr High,189.68
5yr Avg Return,0.1183
EPS Growth 5yr,
Revenue Growth 5yr,0.0708913
Dividend Growth 5yr,0.0435841
Short Int Current Month,18871228.0
Short Int Prev Month,20733934.0
Short Int Pct of Float,0.0097678
Days to Cover,2.40906
Float,1932.053
Shares Outstanding,1933.639
Institutions Holding Shares,3613.0
% Held by Institutions,0.6896469999999999
FCF Growth 5yr,0.5874665110770326
