,CVX
% Below High,0.0315
% Held by Institutions,0.6896
52-Wk Range,['110.73 - 189.68']
Annual Dividend $,5.68
Annual Dividend %,0.030899999999999997
Ask,183.99
Ask Size,1000.0
B/A Ratio,2.0
B/A Size,2000x1000
Beta,1.2
Bid,183.35
Bid Size,2000.0
Closing Price,183.7
Day Change $,-0.54
Day Change %,-0.0029
Day High,185.3
Day Low,183.31
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",17.58
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.326
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,355.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.45
Prev Close,184.24
Shares Outstanding,1.9B
Short Interest,0.0098
Today's Open,184.89
Volume,2796407.0
Volume 10-day Avg,7373982.0
Volume Past Day,(Light)
