,ILMN
Price/Earnings (TTM),
Price/Sales (TTM),7.33074
Price/Book (MRQ),5.10792
Price/Cash Flow (TTM),
5yr Low,173.45
5yr High,555.77
5yr Avg Return,0.024616666666666672
EPS Growth 5yr,0.1005789
Revenue Growth 5yr,0.1354279
Dividend Growth 5yr,
Short Int Current Month,4373787.0
Short Int Prev Month,4816404.0
Short Int Pct of Float,0.027905199999999998
Days to Cover,3.10779
Float,156.7539
Shares Outstanding,157.3
Institutions Holding Shares,1323.0
% Held by Institutions,0.8948470000000001
FCF Growth 5yr,-0.6633990883249045
