,NWSA
% Above Low,0.23070000000000002
% Held by Institutions,0.9798
52-Wk Range,['14.87 - 23.73']
Annual Dividend $,0.2
Annual Dividend %,0.0109
Ask,18.2
Ask Size,300.0
Ask close,19.38
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,16.21
Bid Size,200.0
Bid close,17.27
Change Since Close,-0.11| |(-0.60%)
Closing Price,18.3
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-12 00:00:00
"EPS (TTM, GAAP)",0.79
Ex-dividend,2022-09-13 00:00:00
Ex-dividend Date,09/13/22
Historical Volatility,0.36100000000000004
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,18.19
Market Cap,10.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.19
Prev Close,18.3
Shares Outstanding,575.6M
Short Interest,0.0165
Today's Open,
Volume,18.0
Volume 10-day Avg,2605129.0
Volume Past Day,(Light)
