,NWSA
Price/Earnings (TTM),23.19303
Price/Sales (TTM),1.02192
Price/Book (MRQ),1.34532
Price/Cash Flow (TTM),8.39659
5yr Low,7.9
5yr High,27.97
5yr Avg Return,0.04784999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.0499463
Dividend Growth 5yr,0.0
Short Int Current Month,6266673.0
Short Int Prev Month,6235241.0
Short Int Pct of Float,0.016501
Days to Cover,1.68741
Float,495.3852
Shares Outstanding,575.6278
Institutions Holding Shares,607.0
% Held by Institutions,0.9798300000000001
FCF Growth 5yr,0.4273909464468259
