,REGN
Price/Earnings (TTM),15.5316
Price/Sales (TTM),5.84797
Price/Book (MRQ),3.7363
Price/Cash Flow (TTM),14.06192
5yr Low,271.37
5yr High,769.63
5yr Avg Return,0.13135
EPS Growth 5yr,0.5636337
Revenue Growth 5yr,0.2702157
Dividend Growth 5yr,
Short Int Current Month,1759975.0
Short Int Prev Month,1766629.0
Short Int Pct of Float,0.0168885
Days to Cover,2.30708
Float,104.3229
Shares Outstanding,108.9019
Institutions Holding Shares,1561.0
% Held by Institutions,0.878515
FCF Growth 5yr,-0.22536816007182478
